headline,date,url,source
Minister urges stronger customs role,2026-05-16T11:30:48+00:00,https://dailynews.co.tz/minister-urges-stronger-customs-role/,Daily News
TZ records sharp rise in honey exports,2026-05-16T11:26:53+00:00,https://dailynews.co.tz/tz-records-sharp-rise-in-honey-exports/,Daily News
Dar markets key sectors to Moscow,2026-05-16T08:02:48+00:00,https://dailynews.co.tz/dar-markets-key-sectors-to-moscow/,Daily News
Banks urged to deepen inclusion as 78pc remain unbanked,2026-05-17T14:28:14+03:00,https://dailynews.co.tz/banks-urged-to-deepen-inclusion-as-78pc-remain-unbanked/,Daily News
Govt approves 600bn/- for Lake Tanganyika cargo ship,2024-12-24T07:28:45+00:00,https://dailynews.co.tz/govt-approves-600bn-for-lake-tanganyika-cargo-ship/,Daily News
Tarime farmers learn coffee husbandry practices in Muleba,2024-12-24T06:37:43+00:00,https://dailynews.co.tz/tarime-farmers-learn-coffee-husbandry-practices-in-muleba/,Daily News
"NMB campaign enhances savings, financial inclusion",2024-12-24T06:28:59+00:00,https://dailynews.co.tz/nmb-campaign-enhances-savings-financial-inclusion/,Daily News
"Expert insights on Tanzania’s personal, business income tax systems",2024-12-24T06:28:01+00:00,https://dailynews.co.tz/expert-insights-on-tanzanias-personal-business-income-tax-systems/,Daily News
DTB’s Steady Growth: Banking on stability and sustainability,2024-12-24T06:21:43+00:00,https://dailynews.co.tz/dtbs-steady-growth-banking-on-stability-and-sustainability/,Daily News
Govt awards 9.8bn/- tenders to special groups,2024-12-24T06:10:00+00:00,https://dailynews.co.tz/govt-awards-9-8bn-tenders-to-special-groups/,Daily News
Food prices soar to record high,2024-12-24T06:07:52+00:00,https://dailynews.co.tz/food-prices-soar-to-record-high/,Daily News
KIA sees surge in passengers amid increased flights,2024-12-23T09:21:49+00:00,https://dailynews.co.tz/kia-sees-surge-in-passengers-amid-increased-flights/,Daily News
TANROADS approves 14.42bn/-  for road maintenance in Mwanza,2024-12-23T09:10:32+00:00,https://dailynews.co.tz/tanroads-approves-14-42bn-for-road-maintenance-in-mwanza/,Daily News
"‘Railway, road crucial to support Tanga port upgrade’",2024-12-23T08:58:03+00:00,https://dailynews.co.tz/railway-road-crucial-to-support-tanga-port-upgrade/,Daily News
"Airtel, Huawei strengthen partnership to advance Tanzania’s digital transformation",2026-05-18T08:40:24+00:00,https://dailynews.co.tz/142913-2/,Daily News
TADB records rapid financial growth,2026-05-18T02:43:26+03:00,https://dailynews.co.tz/tadb-records-rapid-financial-growth/,Daily News
EACOP advances toward final stages,2026-05-17T18:26:14+03:00,https://dailynews.co.tz/eacop-advances-toward-final-stages/,Daily News
"Government, Serengeti Breweries Limited deepen collaboration on Sustainable Development Agenda",2026-05-17T12:39:43+00:00,https://dailynews.co.tz/142868-2/,Daily News
"Tanzania, Russia sign key agreements",2026-05-18T06:57:57+03:00,https://dailynews.co.tz/tanzania-russia-sign-key-agreements/,Daily News
DTB hosts European investors as Tanzania’s investment momentum grows,2026-05-17T10:31:27+03:00,https://dailynews.co.tz/dtb-hosts-european-investors-as-tanzanias-investment-momentum-grows/,Daily News
Minister urges stronger customs role,2026-05-16T11:30:48+00:00,https://dailynews.co.tz/minister-urges-stronger-customs-role/,Daily News
TZ records sharp rise in honey exports,2026-05-16T11:26:53+00:00,https://dailynews.co.tz/tz-records-sharp-rise-in-honey-exports/,Daily News
Dar markets key sectors to Moscow,2026-05-16T08:02:48+00:00,https://dailynews.co.tz/dar-markets-key-sectors-to-moscow/,Daily News
Banks urged to deepen inclusion as 78pc remain unbanked,2026-05-17T14:28:14+03:00,https://dailynews.co.tz/banks-urged-to-deepen-inclusion-as-78pc-remain-unbanked/,Daily News
BoT to launch new customer complaint system,2024-12-21T08:47:01+00:00,https://dailynews.co.tz/bot-to-launch-new-customer-complaint-system/,Daily News
TRA Tanga surpasses tax collection target by 21.95bn/-,2024-12-21T08:01:09+00:00,https://dailynews.co.tz/tra-tanga-surpasses-tax-collection-target-by-21-95bn/,Daily News
Boost for Akkuyu NPP as turbine installation completed,2024-12-21T05:19:46+00:00,https://dailynews.co.tz/boost-for-akkuyu-npp-as-turbine-installation-completed/,Daily News
"TCB, AFCA take Tanzania Coffee Competition global",2024-12-20T12:32:31+00:00,https://dailynews.co.tz/tcb-afca-take-tanzania-coffee-competition-global/,Daily News
BoT: Cashew purchases strained October liquidity,2024-12-20T12:17:49+00:00,https://dailynews.co.tz/bot-cashew-purchases-strained-october-liquidity/,Daily News
"Call for tax system harmonisation, formalisation of businesses",2024-12-20T11:53:33+00:00,https://dailynews.co.tz/call-for-tax-system-harmonisation-formalisation-of-businesses/,Daily News
TPA sees surge in revenues,2024-12-20T06:22:44+00:00,https://dailynews.co.tz/tpa-sees-surge-in-revenues/,Daily News
Massive investments in Tanzania ports drive record cargo growth,2024-12-19T13:20:35+00:00,https://dailynews.co.tz/massive-investments-in-tanzania-ports-drive-record-cargo-growth/,Daily News
"Airtel, Huawei strengthen partnership to advance Tanzania’s digital transformation",2026-05-18T08:40:24+00:00,https://dailynews.co.tz/142913-2/,Daily News
TADB records rapid financial growth,2026-05-18T02:43:26+03:00,https://dailynews.co.tz/tadb-records-rapid-financial-growth/,Daily News
EACOP advances toward final stages,2026-05-17T18:26:14+03:00,https://dailynews.co.tz/eacop-advances-toward-final-stages/,Daily News
"Government, Serengeti Breweries Limited deepen collaboration on Sustainable Development Agenda",2026-05-17T12:39:43+00:00,https://dailynews.co.tz/142868-2/,Daily News
"Tanzania, Russia sign key agreements",2026-05-18T06:57:57+03:00,https://dailynews.co.tz/tanzania-russia-sign-key-agreements/,Daily News
DTB hosts European investors as Tanzania’s investment momentum grows,2026-05-17T10:31:27+03:00,https://dailynews.co.tz/dtb-hosts-european-investors-as-tanzanias-investment-momentum-grows/,Daily News
Minister urges stronger customs role,2026-05-16T11:30:48+00:00,https://dailynews.co.tz/minister-urges-stronger-customs-role/,Daily News
TZ records sharp rise in honey exports,2026-05-16T11:26:53+00:00,https://dailynews.co.tz/tz-records-sharp-rise-in-honey-exports/,Daily News
Dar markets key sectors to Moscow,2026-05-16T08:02:48+00:00,https://dailynews.co.tz/dar-markets-key-sectors-to-moscow/,Daily News
Banks urged to deepen inclusion as 78pc remain unbanked,2026-05-17T14:28:14+03:00,https://dailynews.co.tz/banks-urged-to-deepen-inclusion-as-78pc-remain-unbanked/,Daily News
New Kibaha factory to boost iron sheet production,2024-12-19T07:03:10+00:00,https://dailynews.co.tz/new-kibaha-factory-to-boost-iron-sheet-production/,Daily News
‘Fitch B+ rating reflects  economic strength’,2024-12-19T05:03:34+00:00,https://dailynews.co.tz/fitch-b-rating-reflects-economic-strength/,Daily News
TRA Commissioner General honors Mati Super Brands Ltd for Tax contribution,2024-12-18T14:20:01+00:00,https://dailynews.co.tz/tra-commissioner-general-honors-mati-super-brands-ltd-for-tax-contribution/,Daily News
Govt highlights CRJE’s role in China-Tanzania ties,2024-12-18T09:58:58+00:00,https://dailynews.co.tz/govt-highlights-crjes-role-in-china-tanzania-ties/,Daily News
"Yas, KADERES to empower coffee farmers in Kagera",2024-12-18T09:55:17+00:00,https://dailynews.co.tz/yas-kaderes-to-empower-coffee-farmers-in-kagera/,Daily News
Bakhresa invests 20bn/- to double fruit juice production,2024-12-18T09:37:42+00:00,https://dailynews.co.tz/bakhresa-invests-20bn-to-double-fruit-juice-production/,Daily News
"Dar, Muscat agree to eliminate double taxation",2024-12-18T09:02:51+00:00,https://dailynews.co.tz/dar-muscat-agree-to-eliminate-double-taxation/,Daily News
TRA pledges to address taxpayers’ challenges,2024-12-18T08:58:46+00:00,https://dailynews.co.tz/tra-pledges-to-address-taxpayers-challenges/,Daily News
Shivo Towers: A game-changer for Zanzibar’s property market,2024-12-17T18:24:33+00:00,https://dailynews.co.tz/shivo-towers-a-game-changer-for-zanzibars-property-market/,Daily News
Fitch affirms Tanzania at ‘B+’ with stable outlook,2024-12-17T06:17:52+00:00,https://dailynews.co.tz/fitch-affirms-tanzania-at-b-with-stable-outlook/,Daily News
"Airtel, Huawei strengthen partnership to advance Tanzania’s digital transformation",2026-05-18T08:40:24+00:00,https://dailynews.co.tz/142913-2/,Daily News
TADB records rapid financial growth,2026-05-18T02:43:26+03:00,https://dailynews.co.tz/tadb-records-rapid-financial-growth/,Daily News
EACOP advances toward final stages,2026-05-17T18:26:14+03:00,https://dailynews.co.tz/eacop-advances-toward-final-stages/,Daily News
"Government, Serengeti Breweries Limited deepen collaboration on Sustainable Development Agenda",2026-05-17T12:39:43+00:00,https://dailynews.co.tz/142868-2/,Daily News
"Tanzania, Russia sign key agreements",2026-05-18T06:57:57+03:00,https://dailynews.co.tz/tanzania-russia-sign-key-agreements/,Daily News
DTB hosts European investors as Tanzania’s investment momentum grows,2026-05-17T10:31:27+03:00,https://dailynews.co.tz/dtb-hosts-european-investors-as-tanzanias-investment-momentum-grows/,Daily News
Minister urges stronger customs role,2026-05-16T11:30:48+00:00,https://dailynews.co.tz/minister-urges-stronger-customs-role/,Daily News
TZ records sharp rise in honey exports,2026-05-16T11:26:53+00:00,https://dailynews.co.tz/tz-records-sharp-rise-in-honey-exports/,Daily News
Dar markets key sectors to Moscow,2026-05-16T08:02:48+00:00,https://dailynews.co.tz/dar-markets-key-sectors-to-moscow/,Daily News
Banks urged to deepen inclusion as 78pc remain unbanked,2026-05-17T14:28:14+03:00,https://dailynews.co.tz/banks-urged-to-deepen-inclusion-as-78pc-remain-unbanked/,Daily News
TADB boosts fish production with loan issuance,2024-12-16T06:39:25+00:00,https://dailynews.co.tz/tadb-boosts-fish-production-with-loan-issuance/,Daily News
Airtel intensifies anti-fraud measures,2024-12-16T06:28:59+00:00,https://dailynews.co.tz/airtel-intensifies-anti-fraud-measures/,Daily News
"Sahara Consult, Mastercard Foundation partner to drive digital innovation",2024-12-16T06:26:31+00:00,https://dailynews.co.tz/sahara-consult-mastercard-foundation-partner-to-drive-digital-innovation/,Daily News
Boost for economic stability,2024-12-15T06:12:55+00:00,https://dailynews.co.tz/boost-for-economic-stability/,Daily News
NBC Bank launches offer price reductions for the holiday season campaign,2024-12-13T18:01:44+00:00,https://dailynews.co.tz/nbc-bank-launches-offer-price-reductions-for-the-holiday-season-campaign/,Daily News
Govt advocates biotech to boost agriculture,2024-12-13T09:40:58+00:00,https://dailynews.co.tz/govt-advocates-biotech-to-boost-agriculture/,Daily News
TBS tasked to curb illegal entry of goods,2024-12-13T09:31:46+00:00,https://dailynews.co.tz/tbs-tasked-to-curb-illegal-entry-of-goods/,Daily News
EPZA: Samia’s diplomacy attracts global investors,2024-12-13T08:06:38+00:00,https://dailynews.co.tz/epza-samias-diplomacy-attracts-global-investors/,Daily News
Stakeholders push for smarter revenue collection,2024-12-13T07:38:07+00:00,https://dailynews.co.tz/stakeholders-push-for-smarter-revenue-collection/,Daily News
"Airtel, Huawei strengthen partnership to advance Tanzania’s digital transformation",2026-05-18T08:40:24+00:00,https://dailynews.co.tz/142913-2/,Daily News
TADB records rapid financial growth,2026-05-18T02:43:26+03:00,https://dailynews.co.tz/tadb-records-rapid-financial-growth/,Daily News
EACOP advances toward final stages,2026-05-17T18:26:14+03:00,https://dailynews.co.tz/eacop-advances-toward-final-stages/,Daily News
"Government, Serengeti Breweries Limited deepen collaboration on Sustainable Development Agenda",2026-05-17T12:39:43+00:00,https://dailynews.co.tz/142868-2/,Daily News
"Tanzania, Russia sign key agreements",2026-05-18T06:57:57+03:00,https://dailynews.co.tz/tanzania-russia-sign-key-agreements/,Daily News
DTB hosts European investors as Tanzania’s investment momentum grows,2026-05-17T10:31:27+03:00,https://dailynews.co.tz/dtb-hosts-european-investors-as-tanzanias-investment-momentum-grows/,Daily News
Minister urges stronger customs role,2026-05-16T11:30:48+00:00,https://dailynews.co.tz/minister-urges-stronger-customs-role/,Daily News
TZ records sharp rise in honey exports,2026-05-16T11:26:53+00:00,https://dailynews.co.tz/tz-records-sharp-rise-in-honey-exports/,Daily News
Dar markets key sectors to Moscow,2026-05-16T08:02:48+00:00,https://dailynews.co.tz/dar-markets-key-sectors-to-moscow/,Daily News
Banks urged to deepen inclusion as 78pc remain unbanked,2026-05-17T14:28:14+03:00,https://dailynews.co.tz/banks-urged-to-deepen-inclusion-as-78pc-remain-unbanked/,Daily News
TMA’s update on Cyclone CHIDO,2024-12-12T21:08:24+00:00,https://dailynews.co.tz/tma-issues-new-update-regarding-cyclone-chido/,Daily News
"A 13.5pc surge in investment in SOEs, driving efficiency",2024-12-12T09:19:10+00:00,https://dailynews.co.tz/a-13-5pc-surge-in-investment-in-soes-driving-efficiency/,Daily News
TBS destroys 18m/- substandard goods,2024-12-12T07:30:23+00:00,https://dailynews.co.tz/tbs-destroys-18m-substandard-goods/,Daily News
Govt: Biotech key driver of development,2024-12-12T07:03:44+00:00,https://dailynews.co.tz/govt-biotech-key-driver-of-development/,Daily News
Coffee price surges to highest on record,2024-12-11T10:24:13+00:00,https://dailynews.co.tz/coffee-price-surges-to-highest-on-record/,Daily News
State: Unregistered lenders face legal measures,2024-12-11T04:58:35+00:00,https://dailynews.co.tz/state-unregistered-lenders-face-legal-measures/,Daily News
BoT automates consumer complaints desk,2024-12-11T02:35:42+00:00,https://dailynews.co.tz/bot-automates-consumer-complaints-desk/,Daily News
YAS reaffirms commitment to advance technology,2024-12-10T13:29:48+00:00,https://dailynews.co.tz/yas-reaffirms-commitment-to-advance-technology/,Daily News
Money in vs money out? Rethinking Africa’s climate financing solutions,2024-12-10T11:51:18+00:00,https://dailynews.co.tz/money-in-vs-money-out-rethinking-africas-climate-financing-solutions/,Daily News
COLUMN: WEEKLY INVESTMENT TALK. Between the numbers: A look at November’s performance at the DSE,2024-12-10T11:29:10+00:00,https://dailynews.co.tz/column-weekly-investment-talk-between-the-numbers-a-look-at-novembers-performance-at-the-dse/,Daily News
"Airtel, Huawei strengthen partnership to advance Tanzania’s digital transformation",2026-05-18T08:40:24+00:00,https://dailynews.co.tz/142913-2/,Daily News
TADB records rapid financial growth,2026-05-18T02:43:26+03:00,https://dailynews.co.tz/tadb-records-rapid-financial-growth/,Daily News
EACOP advances toward final stages,2026-05-17T18:26:14+03:00,https://dailynews.co.tz/eacop-advances-toward-final-stages/,Daily News
"Government, Serengeti Breweries Limited deepen collaboration on Sustainable Development Agenda",2026-05-17T12:39:43+00:00,https://dailynews.co.tz/142868-2/,Daily News
"Tanzania, Russia sign key agreements",2026-05-18T06:57:57+03:00,https://dailynews.co.tz/tanzania-russia-sign-key-agreements/,Daily News
DTB hosts European investors as Tanzania’s investment momentum grows,2026-05-17T10:31:27+03:00,https://dailynews.co.tz/dtb-hosts-european-investors-as-tanzanias-investment-momentum-grows/,Daily News
Minister urges stronger customs role,2026-05-16T11:30:48+00:00,https://dailynews.co.tz/minister-urges-stronger-customs-role/,Daily News
TZ records sharp rise in honey exports,2026-05-16T11:26:53+00:00,https://dailynews.co.tz/tz-records-sharp-rise-in-honey-exports/,Daily News
Dar markets key sectors to Moscow,2026-05-16T08:02:48+00:00,https://dailynews.co.tz/dar-markets-key-sectors-to-moscow/,Daily News
Banks urged to deepen inclusion as 78pc remain unbanked,2026-05-17T14:28:14+03:00,https://dailynews.co.tz/banks-urged-to-deepen-inclusion-as-78pc-remain-unbanked/,Daily News
COLUMN: NEW THINKING. Tax Commission explores reforms to enhance revenue mobilisation,2024-12-10T10:01:46+00:00,https://dailynews.co.tz/tax-commission-explores-reforms-to-enhance-revenue-mobilisation/,Daily News
Tanzania’s financial inclusion revolution: From savings to stock trading,2024-12-10T09:07:18+00:00,https://dailynews.co.tz/tanzanias-financial-inclusion-revolution-from-savings-to-stock-trading/,Daily News
DSE turnover jumps 164pc in one week,2024-12-10T07:17:30+00:00,https://dailynews.co.tz/dse-turnover-jumps-164pc-in-one-week/,Daily News
Rethinking Corporate Tax: Critical Review,2024-12-10T06:00:31+00:00,https://dailynews.co.tz/rethinking-corporate-tax-critical-review/,Daily News
Student-led business ideas awarded 80m/-,2024-12-09T04:46:14+00:00,https://dailynews.co.tz/student-led-businesses-ideas-awarded-80m/,Daily News
Dar Port upgrades lure global shipping giant,2024-12-07T07:18:04+00:00,https://dailynews.co.tz/dar-port-upgrades-lure-global-shipping-giant/,Daily News
EACOP advances toward final stages,2026-05-17T18:26:14+03:00,https://dailynews.co.tz/eacop-advances-toward-final-stages/,Daily News
"Government, Serengeti Breweries Limited deepen collaboration on Sustainable Development Agenda",2026-05-17T12:39:43+00:00,https://dailynews.co.tz/142868-2/,Daily News
"Tanzania, Russia sign key agreements",2026-05-18T06:57:57+03:00,https://dailynews.co.tz/tanzania-russia-sign-key-agreements/,Daily News
DTB hosts European investors as Tanzania’s investment momentum grows,2026-05-17T10:31:27+03:00,https://dailynews.co.tz/dtb-hosts-european-investors-as-tanzanias-investment-momentum-grows/,Daily News
Minister urges stronger customs role,2026-05-16T11:30:48+00:00,https://dailynews.co.tz/minister-urges-stronger-customs-role/,Daily News
TZ records sharp rise in honey exports,2026-05-16T11:26:53+00:00,https://dailynews.co.tz/tz-records-sharp-rise-in-honey-exports/,Daily News
Dar markets key sectors to Moscow,2026-05-16T08:02:48+00:00,https://dailynews.co.tz/dar-markets-key-sectors-to-moscow/,Daily News
Banks urged to deepen inclusion as 78pc remain unbanked,2026-05-17T14:28:14+03:00,https://dailynews.co.tz/banks-urged-to-deepen-inclusion-as-78pc-remain-unbanked/,Daily News
MMI Steel Mills laud government’s business reforms,2024-12-06T08:08:50+00:00,https://dailynews.co.tz/mmi-steel-mills-laud-governments-business-reforms/,Daily News
Jafo: Capitalise on global market opportunities,2024-12-06T08:03:24+00:00,https://dailynews.co.tz/jafo-capitalise-on-global-market-opportunities/,Daily News
"Karamagi pushes for increased production of cash, food crops",2024-12-06T07:42:58+00:00,https://dailynews.co.tz/karamagi-pushes-for-increased-production-of-cash-food-crops/,Daily News
Tax Reforms: A game changer for DSE growth,2024-12-06T07:29:54+00:00,https://dailynews.co.tz/tax-reforms-a-game-changer-for-dse-growth/,Daily News
Sardine traders call for modern drying facilities,2024-12-06T07:15:44+00:00,https://dailynews.co.tz/sardine-traders-call-for-modern-drying-facilities/,Daily News
CRDB named best bank in Tanzania,2024-12-06T06:52:58+00:00,https://dailynews.co.tz/crdb-named-best-bank-in-tanzania/,Daily News
"NMB grabs over 30 awards for innovation, development role",2024-12-06T06:38:23+00:00,https://dailynews.co.tz/nmb-grabs-over-30-awards-for-innovation-development-role/,Daily News
Regional leaders unite to safeguard Indian Ocean fisheries,2024-12-06T06:23:03+00:00,https://dailynews.co.tz/regional-leaders-unite-to-safeguard-indian-ocean-fisheries/,Daily News
Breweries call for fair tax policies to support smaller players,2024-12-05T09:37:01+00:00,https://dailynews.co.tz/breweries-call-for-fair-tax-policies-to-support-smaller-players/,Daily News
TPHPA advocates drone technologies for agriculture,2024-12-05T06:14:15+00:00,https://dailynews.co.tz/tphpa-advocates-drone-technologies-for-agriculture/,Daily News
"Airtel, Huawei strengthen partnership to advance Tanzania’s digital transformation",2026-05-18T08:40:24+00:00,https://dailynews.co.tz/142913-2/,Daily News
TADB records rapid financial growth,2026-05-18T02:43:26+03:00,https://dailynews.co.tz/tadb-records-rapid-financial-growth/,Daily News
EACOP advances toward final stages,2026-05-17T18:26:14+03:00,https://dailynews.co.tz/eacop-advances-toward-final-stages/,Daily News
"Government, Serengeti Breweries Limited deepen collaboration on Sustainable Development Agenda",2026-05-17T12:39:43+00:00,https://dailynews.co.tz/142868-2/,Daily News
"Tanzania, Russia sign key agreements",2026-05-18T06:57:57+03:00,https://dailynews.co.tz/tanzania-russia-sign-key-agreements/,Daily News
Minister urges stronger customs role,2026-05-16T11:30:48+00:00,https://dailynews.co.tz/minister-urges-stronger-customs-role/,Daily News
TZ records sharp rise in honey exports,2026-05-16T11:26:53+00:00,https://dailynews.co.tz/tz-records-sharp-rise-in-honey-exports/,Daily News
Dar markets key sectors to Moscow,2026-05-16T08:02:48+00:00,https://dailynews.co.tz/dar-markets-key-sectors-to-moscow/,Daily News
Banks urged to deepen inclusion as 78pc remain unbanked,2026-05-17T14:28:14+03:00,https://dailynews.co.tz/banks-urged-to-deepen-inclusion-as-78pc-remain-unbanked/,Daily News
"EPZA mulls fund for industrial sheds, warehouses",2024-12-05T06:07:33+00:00,https://dailynews.co.tz/epza-mulls-fund-for-industrial-sheds-warehouses/,Daily News
Drones to monitor marine resources countrywide,2024-12-04T09:50:34+00:00,https://dailynews.co.tz/drones-to-monitor-marine-resources-countrywide/,Daily News
TBS warns public on expired products,2024-12-04T09:42:32+00:00,https://dailynews.co.tz/tbs-warns-public-on-expired-products/,Daily News
