headline,date,source,relevant_groq,relevant_openai,category_groq,category_openai,sentiment_groq,sentiment_openai,disagreement_type,your_relevant,your_category,your_sentiment,notes
Third of global economy faces recession: IMF chief,2023-01-03,The Citizen,True,True,Policy,Policy,Negative,Positive,negative_to_positive,,,,
Tanzania government vows to take down sugar cartels in efforts to address shortage,2024-02-23,The Citizen,True,True,Trade,Policy,Negative,Positive,negative_to_positive,,,,
Why Ewura prefers lowering gas prices,2022-07-30,The Citizen,True,True,Energy,Energy,Negative,Positive,negative_to_positive,,,,
Govt strategises to cut forex deficit,2024-03-02,Daily News,True,True,Forex,Forex,Negative,Positive,negative_to_positive,,,,
Govt bans salt importation,2023-01-10,Daily News,True,True,Trade,Trade,Negative,Positive,negative_to_positive,,,,
"Isles shippers call for improved port operation, service efficiency",2022-10-16,Daily News,True,True,Trade,Transport,Negative,Positive,negative_to_positive,,,,
Kenya’s loans 60pc more expensive than Tanzania,2023-11-14,The Citizen,True,True,Trade,Banking,Negative,Positive,negative_to_positive,,,,
CAG calls for need to bolster TADB capital,2024-03-29,Daily News,True,True,Policy,Policy,Negative,Positive,negative_to_positive,,,,
Infrastructure development is key in the African Agenda 2063-Dr Manzungu,2024-02-18,Daily News,True,True,Policy,Transport,Neutral,Positive,neutral_to_positive,,,,
Novel idea touted for banks to boost financial inclusion,2022-10-21,Daily News,True,True,Banking,Banking,Neutral,Positive,neutral_to_positive,,,,
"Uber, Bolt o resume services in Tanzania",2022-09-12,The Citizen,True,True,Transport,Transport,Neutral,Positive,neutral_to_positive,,,,
Samia wants ‘more revenues’ as State works on traders’ challenges,2024-07-18,Daily News,True,True,Policy,Policy,Neutral,Positive,neutral_to_positive,,,,
Dar envisions to become fuel trade hub,2023-01-28,Daily News,True,True,Energy,Energy,Neutral,Positive,neutral_to_positive,,,,
CCAA marks five years of promoting business landscape,2023-10-02,Daily News,True,True,Investment,Policy,Neutral,Positive,neutral_to_positive,,,,
The Stanbic Bank – branch managers academy welcomes third cohort,2024-05-27,Daily News,True,True,Banking,Banking,Neutral,Positive,neutral_to_positive,,,,
"TRA: New tax, customs systems to address taxpayers disputes",2024-10-18,Daily News,True,True,Policy,Policy,Neutral,Positive,neutral_to_positive,,,,
"TIC, Azania Bank open modern service centre",2024-05-06,The Citizen,True,True,Banking,Banking,Neutral,Positive,neutral_to_positive,,,,
NMB’s financial literacy initiative to empower customers,2024-11-05,Daily News,True,True,Banking,Banking,Neutral,Positive,neutral_to_positive,,,,
TanTrade: AI to steal show at 48th DITF,2024-06-07,Daily News,True,True,Trade,Trade,Neutral,Positive,neutral_to_positive,,,,
"Mwinyi woos investors in oil, gas",2024-03-21,Daily News,True,True,Energy,Investment,Neutral,Positive,neutral_to_positive,,,,
Tech revolution key to food security amid climate change,2024-06-10,The Citizen,True,True,Agriculture,Agriculture,Neutral,Positive,neutral_to_positive,,,,
TCB aspires to be Tanzania’s third-biggest bank,2024-04-10,The Citizen,True,True,Banking,Banking,Neutral,Positive,neutral_to_positive,,,,
Mtwara Port puts smile on cashew farmers,2023-11-16,Daily News,True,True,Trade,Agriculture,Neutral,Positive,neutral_to_positive,,,,
TBS touts entrepreneurs on goods certification,2022-11-10,Daily News,True,True,Markets,Investment,Neutral,Positive,neutral_to_positive,,,,
Entrepreneurs told to embrace goods certification,2022-12-12,Daily News,True,True,Trade,Trade,Neutral,Positive,neutral_to_positive,,,,
"REA allocates 10bn/- for distribution of LPG gas cylinders, stoves",2023-11-11,Daily News,True,True,Energy,Energy,Neutral,Positive,neutral_to_positive,,,,
"Tanzania, South Korea startups ink partnership deal",2022-11-24,The Citizen,True,True,Investment,Investment,Neutral,Positive,neutral_to_positive,,,,
"SAGCOT stakeholders discuss how to boost soybean production, trade",2023-08-04,Daily News,True,True,Trade,Agriculture,Neutral,Positive,neutral_to_positive,,,,
"Oryx, NMB forge partnership to scale up clean energy use",2023-11-28,Daily News,True,True,Energy,Energy,Neutral,Positive,neutral_to_positive,,,,
"Embrace quality to compete with imported products, industrialists told",2022-12-11,Daily News,True,True,Trade,Trade,Neutral,Positive,neutral_to_positive,,,,
GGML named most trustworthy African mining company,2023-11-14,Daily News,True,True,Energy,Investment,Neutral,Positive,neutral_to_positive,,,,
EABC renews call to boost intra-EAC trade to 40 pc,2024-10-17,Daily News,True,True,Trade,Trade,Neutral,Positive,neutral_to_positive,,,,
Government in fresh move to plug loopholes for revenue loss,2023-02-14,The Citizen,True,True,Policy,Policy,Neutral,Positive,neutral_to_positive,,,,
"Government , tourism players to defuse Mt Kilimanjaro cable car row",2022-02-19,The Citizen,True,False,Tourism,,Neutral,,groq_relevant_only,,,,
New dawn for MCL as it ‘builds together’,2022-06-23,The Citizen,True,False,Banking,,Positive,,groq_relevant_only,,,,
Controversy as UK firm seeks to revive exploration work in Tanzania,2022-05-29,The Citizen,True,False,Trade,,Neutral,,groq_relevant_only,,,,
Japan dishes out 1.2bn/- for refugee,2022-09-09,Daily News,True,False,Forex,,Neutral,,groq_relevant_only,,,,
LAND OWNERSHIP FOR DIASPORA:Govt tables bill,2024-06-30,Daily News,True,False,Policy,,Neutral,,groq_relevant_only,,,,
Rapid bus service provider’s fleet jumps to 210 vehicles,2022-01-09,The Citizen,True,False,Transport,,Neutral,,groq_relevant_only,,,,
Is the aviation sector about to fly higher?,2022-06-07,The Citizen,True,False,Trade,,Neutral,,groq_relevant_only,,,,
German company linked to bribing Tanzanian officials fined $222 million,2024-01-15,The Citizen,True,False,Forex,,Negative,,groq_relevant_only,,,,
Kagera agronomists to learn banana production in Eswatini,2022-11-17,Daily News,False,True,,Agriculture,,Positive,openai_relevant_only,,,,
Government comes up with plan to bridge digital gender divide,2023-03-09,The Citizen,False,True,,Policy,,Positive,openai_relevant_only,,,,
India: On trade with Tanzania and global economic power play,2022-09-13,The Citizen,False,True,,Trade,,Neutral,openai_relevant_only,,,,
‘Samia wins investors’ hearts’,2023-03-22,Daily News,False,True,,Investment,,Positive,openai_relevant_only,,,,
Tech to curb motorcycle theft introduced,2022-07-05,The Citizen,False,True,,Trade,,Positive,openai_relevant_only,,,,
Medical marijuana? Take benefit claims with a pinch of salt,2022-03-30,The Citizen,False,True,,Agriculture,,Positive,openai_relevant_only,,,,
Why Maputo visit worth it,2022-09-26,Daily News,False,True,,Trade,,Positive,openai_relevant_only,,,,
Government says investigating shortages of soft drinks,2022-01-07,The Citizen,True,True,Trade,Policy,,Negative,groq_null_sentiment,,,,
Livestock farmers urged to embrace improved breeds,2024-05-31,Daily News,True,True,Agriculture,Agriculture,,Positive,groq_null_sentiment,,,,
Brighter future for media industry,2023-01-25,Daily News,True,False,Markets,,,,groq_null_sentiment,,,,
TPHPA advocates drone technologies for agriculture,2024-12-05,Daily News,True,True,Agriculture,Agriculture,,Positive,groq_null_sentiment,,,,
E-ticketing: The clock is ticking for bus operators,2022-08-19,The Citizen,True,True,Transport,Transport,,Neutral,groq_null_sentiment,,,,
Biteko urges private sector to help bridge digital divide,2024-08-26,The Citizen,True,True,Policy,Policy,,Neutral,groq_null_sentiment,,,,
36TH AU ASSEMBLY:  Africa eyes to heighten trade,2023-02-17,Daily News,True,True,Trade,Trade,,Positive,groq_null_sentiment,,,,
"‘Come for large fishing, seaweed farming boats loans’",2023-02-24,Daily News,True,True,Trade,Banking,,Positive,groq_null_sentiment,,,,
Exim picks cashless payment campaign winners,2023-02-07,Daily News,True,True,Banking,Banking,,Positive,groq_null_sentiment,,,,
"Manufacturers, importers of building materials told to abide by standards",2023-01-26,Daily News,True,True,Trade,Trade,,Neutral,groq_null_sentiment,,,,
"Chinese, French oil majors seal $10 billion deal for Tanzania, Uganda megaproject",2022-02-01,The Citizen,True,True,Trade,Investment,,Positive,groq_null_sentiment,,,,
"Biteko launches electric vehicle , UNDP office",2024-06-01,Daily News,True,True,Energy,Energy,,Positive,groq_null_sentiment,,,,
Govt collects 12bn/- in land rent after exemption,2022-12-30,Daily News,True,True,Policy,Policy,,Positive,groq_null_sentiment,,,,
"Experts, traders propose market structures befitting petty traders",2022-01-26,The Citizen,True,True,Trade,Trade,,Positive,groq_null_sentiment,,,,
"TIRDO unveils leather, textile lab",2024-07-04,Daily News,True,True,Trade,Investment,,Positive,groq_null_sentiment,,,,
Majaliwa stresses need for  financial literacy among youth,2023-03-14,Daily News,True,True,Policy,,Positive,Positive,openai_null_category,,,,
Twiga Minerals controls half of mining sector revenue,2024-11-21,Daily News,True,True,Energy,,Neutral,Positive,openai_null_category,,,,
Mining equipment supplier grabs award in Geita mining exhibitions,2023-10-02,Daily News,True,True,Energy,,Neutral,Positive,openai_null_category,,,,
Govt challenges builders to invest in low-cost house tech,2023-02-24,Daily News,True,True,Policy,,,Positive,openai_null_category,,,,
Tanzania@62: Massive investment in health sector pays off,2023-12-09,Daily News,True,True,Investment,,Positive,Positive,openai_null_category,,,,
Industrial sector propels Zanzibar’s real income to 3.5tri/-,2023-06-15,Daily News,True,True,Trade,,Positive,Positive,openai_null_category,,,,
SBL commits to inclusive water projects to empower women,2024-03-06,Daily News,True,True,Banking,,Positive,Positive,openai_null_category,,,,
Firm develops water purity tech,2022-11-22,The Citizen,True,True,Energy,,Neutral,Positive,openai_null_category,,,,
TBPL anti-mosquito sales jumps 8.0pc in one year,2024-07-25,Daily News,True,True,Banking,,Positive,Positive,openai_null_category,,,,
Kiruswa: Tanzania has almost all rare minerals,2024-02-15,Daily News,True,True,Energy,,Neutral,Positive,openai_null_category,,,,
Nape commends Airtel for boosting network connectivity in rural Tanzania,2024-05-17,The Citizen,True,True,Banking,,Positive,Positive,openai_null_category,,,,
TBS calls for food vendors to get standards,2023-02-06,Daily News,True,True,Inflation,,,Neutral,openai_null_category,,,,
Key factors behind sharp rise in cement use in Tanzania,2023-02-20,The Citizen,True,True,Agriculture,,Neutral,Positive,openai_null_category,,,,
Barrick’s Bulyanhulu achieves 5th certification under ICMI,2022-12-23,Daily News,True,True,Banking,,Positive,Positive,openai_null_category,,,,
"Tanzania ready for Elon Musk's Starlink, says Nape",2023-02-16,The Citizen,True,True,Policy,,Neutral,Positive,openai_null_category,,,,
"Sanlam, Allianz join forces to form African insurance giant",2022-05-06,The Citizen,True,True,Banking,Banking,Positive,Positive,full_agreement,,,,
BOT extends administration period of Yetu Microfinance,2023-03-14,The Citizen,True,True,Banking,Banking,Neutral,Neutral,full_agreement,,,,
"MKCB to promote digital platforms, launches new branch",2023-12-15,Daily News,True,True,Banking,Banking,Positive,Positive,full_agreement,,,,
"Samia: How electric trains will transform transport, spur economic growth in Tanzania",2024-08-02,The Citizen,True,True,Transport,Transport,Positive,Positive,full_agreement,,,,
NFRA food reserves climb to ten-year high,2024-05-02,Daily News,True,True,Agriculture,Agriculture,Positive,Positive,full_agreement,,,,
